registration_number,business_type,registration_date,name_in_pdf,search_name,association,source_page,match_status,match_count,official_name,corporate_number,official_address_with_postcode
129,第２種,昭和51年10月16日,株式会社関東観光社,株式会社関東観光社,ＡＮＴＡ,1,unique_match,1,株式会社関東観光社,5013301002510,〒170-0013 東京都豊島区東池袋３丁目１番４号メゾンサンシャイン１０４４号
163,第２種,昭和28年05月22日,関東観光株式会社,関東観光株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
204,第２種,昭和49年06月20日,株式会社東京ミツワ旅行会,株式会社東京ミツワ旅行会,ＡＮＴＡ,1,unique_match,1,株式会社東京ミツワ旅行会,1011001016545,〒150-0002 東京都渋谷区渋谷１丁目１０番６号
262,第２種,昭和36年01月21日,昭和観光株式会社,昭和観光株式会社,ＡＮＴＡ,1,duplicate_name,9,,,
347,第２種,昭和36年12月02日,有限会社鹿島観光,有限会社鹿島観光,ＡＮＴＡ,1,duplicate_name,4,,,
423,第３種,昭和51年10月04日,株式会社新日本交通観光社,株式会社新日本交通観光社,ＡＮＴＡ,1,unique_match,1,株式会社新日本交通観光社,6011001011558,〒150-0001 東京都渋谷区神宮前６丁目１９番１６号
543,第２種,昭和35年06月14日,東交観光バス株式会社,東交観光バス株式会社,ＡＮＴＡ,1,unique_match,1,東交観光バス株式会社,4011301005014,〒166-0003 東京都杉並区高円寺南３丁目４番２号
646,第３種,昭和36年11月22日,株式会社関東ツーリスト・クラブ,株式会社関東ツーリスト・クラブ,ＪＡＴＡ,1,unique_match,1,株式会社関東ツーリスト・クラブ,5010401007480,〒105-0003 東京都港区西新橋１丁目１９番６号
722,第３種,昭和37年12月01日,アルプス観光株式会社,アルプス観光株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
810,第２種,昭和50年07月01日,寿観光株式会社,寿観光株式会社,ＡＮＴＡ,1,duplicate_name,6,,,
905,第３種,昭和42年09月26日,株式会社新日本紀行,株式会社新日本紀行,ＡＮＴＡ,1,duplicate_name,2,,,
1013,第３種,昭和40年03月01日,松﨑  セツ(こだま観光社),松﨑  セツ,,1,not_found,0,,,
1359,第２種,昭和48年08月23日,オリオンズ観光株式会社,オリオンズ観光株式会社,ＡＮＴＡ,1,unique_match,1,オリオンズ観光株式会社,7011801006780,〒121-0813 東京都足立区竹の塚１丁目３５番１２号
1382,第３種,昭和43年01月09日,株式会社東京バンケットプロデュース,株式会社東京バンケットプロデュース,ＡＮＴＡ,1,unique_match,1,株式会社東京バンケットプロデュース,1010001034359,〒102-0082 東京都千代田区一番町２７番２号
1508,第２種,昭和44年05月07日,長治観光株式会社,長治観光株式会社,ＡＮＴＡ,1,unique_match,1,長治観光株式会社,1011101012923,〒160-0022 東京都新宿区新宿５丁目３番２０号
1630,第２種,昭和45年07月28日,株式会社北海道ツーリストセンター(ＨＴＣ),株式会社北海道ツーリストセンター,ＡＮＴＡ,1,unique_match,1,株式会社北海道ツーリストセンター,9010001028980,〒102-0093 東京都千代田区平河町１丁目５番１５号
1634,第３種,昭和45年08月25日,大谷  育三(イースタントラベルサービス),大谷  育三,ＡＮＴＡ,1,not_found,0,,,
1719,第２種,昭和49年01月24日,株式会社大日観光,株式会社大日観光,ＡＮＴＡ,1,duplicate_name,2,,,
1787,第２種,昭和28年04月07日,冨士自動車株式会社,冨士自動車株式会社,,1,duplicate_name,2,,,
1788,第２種,昭和28年07月14日,小田急バス株式会社,小田急バス株式会社,,1,unique_match,1,小田急バス株式会社,1012401021275,〒182-0002 東京都調布市仙川町２丁目１９番地５
1793,第２種,昭和30年01月26日,東海汽船株式会社,東海汽船株式会社,,1,unique_match,1,東海汽船株式会社,3010401020097,〒105-0022 東京都港区海岸１丁目１６番１号
1836,第２種,昭和47年04月05日,関東バス株式会社,関東バス株式会社,,1,unique_match,1,関東バス株式会社,8011201001183,〒164-0003 東京都中野区東中野５丁目２３番１４号
1907,第３種,昭和48年08月09日,綜合商社日本サンセット株式会社,綜合商社日本サンセット株式会社,ＡＮＴＡ,1,unique_match,1,綜合商社日本サンセット株式会社,5011601003708,〒176-0013 東京都練馬区豊玉中１丁目３番地
1968,第３種,昭和49年09月28日,株式会社新潟交通サービスセンター,株式会社新潟交通サービスセンター,,1,unique_match,1,株式会社新潟交通サービスセンター,5010501010351,〒110-0005 東京都台東区上野１丁目１８番１１号
